Encoder Angle    Steering Angle
-------------------------------
     0     0

   93.5156  249.3750

   93.8672  250.3125

   94.2188  251.2500

   94.5703  252.1875

   94.9219  253.1250

   95.2734  254.0625

   95.6250  255.0000

   95.9766  255.9375

   96.3281  256.8750

   96.6797  257.8125

   97.0312  258.7500

   97.3828  259.6875

   97.7344  260.6250

   98.0859  261.5625

   98.4375  262.5000

   98.7891  263.4375

   99.1406  264.3750

   99.4922  265.3125

   99.8438  266.2500

  100.1953  267.1875

  100.5469  268.1250

  100.8984  269.0625

  101.2500  270.0000

  101.6016  270.9375

  101.9531  271.8750

  102.3047  272.8125

  102.6562  273.7500

  103.0078  274.6875

  103.3594  275.6250

  103.7109  276.5625

  104.0625  277.5000

  104.4141  278.4375

  104.7656  279.3750

  105.1172  280.3125

  105.4688  281.2500

  105.8203  282.1875

  106.1719  283.1250

  106.5234  284.0625

  106.8750  285.0000

  107.2266  285.9375

  107.5781  286.8750

  107.9297  287.8125

  108.2812  288.7500

  108.6328  289.6875

  108.9844  290.6250

  109.3359  291.5625

  109.6875  292.5000

  110.0391  293.4375

  110.3906  294.3750

  110.7422  295.3125

  111.0938  296.2500

  111.4453  297.1875

  111.7969  298.1250

  112.1484  299.0625

  112.5000  300.0000

  112.8516  300.9375

  113.2031  301.8750

  113.5547  302.8125

  113.9062  303.7500

  114.2578  304.6875

  114.6094  305.6250

  114.9609  306.5625

  115.3125  307.5000

  115.6641  308.4375

  116.0156  309.3750

  116.3672  310.3125

  116.7188  311.2500

  117.0703  312.1875

  117.4219  313.1250

  117.7734  314.0625

  118.1250  315.0000

  118.4766  315.9375

  118.8281  316.8750

  119.1797  317.8125

  119.5312  318.7500

  119.8828  319.6875

  120.2344  320.6250

  120.5859  321.5625

  120.9375  322.5000

  121.2891  323.4375

  121.6406  324.3750

  121.9922  325.3125

  122.3438  326.2500

  122.6953  327.1875

  123.0469  328.1250

  123.3984  329.0625

  123.7500  330.0000

  124.1016  330.9375

  124.4531  331.8750

  124.8047  332.8125

  125.1562  333.7500

  125.5078  334.6875

  125.8594  335.6250

  126.2109  336.5625

  126.5625  337.5000

  126.9141  338.4375

  127.2656  339.3750

  127.6172  340.3125

  127.9688  341.2500

  128.3203  342.1875

  128.6719  343.1250

  129.0234  344.0625

  129.3750  345.0000

  129.7266  345.9375

  130.0781  346.8750

  130.4297  347.8125

  130.7812  348.7500

  131.1328  349.6875

  131.4844  350.6250

  131.8359  351.5625

  132.1875  352.5000

  132.5391  353.4375

  132.8906  354.3750

  133.2422  355.3125

  133.5938  356.2500

  133.9453  357.1875

  134.2969  358.1250

  134.6484  359.0625

   135   360

  135.3516  360.9375

  135.7031  361.8750

  136.0547  362.8125

  136.4062  363.7500

  136.7578  364.6875

  137.1094  365.6250

  137.4609  366.5625

  137.8125  367.5000

  138.1641  368.4375

  138.5156  369.3750

  138.8672  370.3125

  139.2188  371.2500

  139.5703  372.1875

  139.9219  373.1250

  140.2734  374.0625

  140.6250  375.0000

  140.9766  375.9375

  141.3281  376.8750

  141.6797  377.8125

  142.0312  378.7500

  142.3828  379.6875

  142.7344  380.6250

  143.0859  381.5625

  143.4375  382.5000

  143.7891  383.4375

  144.1406  384.3750

  144.4922  385.3125

  144.8438  386.2500

  145.1953  387.1875

  145.5469  388.1250

  145.8984  389.0625

  146.2500  390.0000

  146.6016  390.9375

  146.9531  391.8750

  147.3047  392.8125

  147.6562  393.7500

  148.0078  394.6875

  148.3594  395.6250

  148.7109  396.5625

  149.0625  397.5000

  149.4141  398.4375

  149.7656  399.3750

  150.1172  400.3125

  150.4688  401.2500

  150.8203  402.1875

  151.1719  403.1250

  151.5234  404.0625

  151.8750  405.0000

  152.2266  405.9375

  152.5781  406.8750

  152.9297  407.8125

  153.2812  408.7500

  153.6328  409.6875

  153.9844  410.6250

  154.3359  411.5625

  154.6875  412.5000

  155.0391  413.4375

  155.3906  414.3750

  155.7422  415.3125

  156.0938  416.2500

  156.4453  417.1875

  156.7969  418.1250

  157.1484  419.0625

  157.5000  420.0000

  157.8516  420.9375

  158.2031  421.8750

  158.5547  422.8125

  158.9062  423.7500

  159.2578  424.6875

  159.6094  425.6250

  159.9609  426.5625

  160.3125  427.5000

  160.6641  428.4375

  161.0156  429.3750

  161.3672  430.3125

  161.7188  431.2500

  162.0703  432.1875

  162.4219  433.1250

  162.7734  434.0625

  163.1250  435.0000

  163.4766  435.9375

  163.8281  436.8750

  164.1797  437.8125

  164.5312  438.7500

  164.8828  439.6875

  165.2344  440.6250

  165.5859  441.5625

  165.9375  442.5000

  166.2891  443.4375

  166.6406  444.3750

  166.9922  445.3125

  167.3438  446.2500

  167.6953  447.1875

  168.0469  448.1250

  168.3984  449.0625

  168.7500  450.0000

  169.1016  450.9375

  169.4531  451.8750

  169.8047  452.8125

  170.1562  453.7500

  170.5078  454.6875

  170.8594  455.6250

  171.2109  456.5625

  171.5625  457.5000

  171.9141  458.4375

  172.2656  459.3750

  172.6172  460.3125

  172.9688  461.2500

  173.3203  462.1875

  173.6719  463.1250

  174.0234  464.0625

  174.3750  465.0000

  174.7266  465.9375

  175.0781  466.8750

  175.4297  467.8125

  175.7812  468.7500

  176.1328  469.6875

  176.4844  470.6250

  176.8359  471.5625

  177.1875  472.5000

  177.5391  473.4375

  177.8906  474.3750

  178.2422  475.3125

  178.5938  476.2500

  178.9453  477.1875

  179.2969  478.1250

  179.6484  479.0625

   180   480

  180.3516  480.9375

  180.7031  481.8750

  181.0547  482.8125

  181.4062  483.7500

  181.7578  484.6875

  182.1094  485.6250

  182.4609  486.5625

  182.8125  487.5000

  183.1641  488.4375

  183.5156  489.3750

  183.8672  490.3125

  184.2188  491.2500

  184.5703  492.1875

  184.9219  493.1250

  185.2734  494.0625

  185.6250  495.0000

  185.9766  495.9375

  186.3281  496.8750

